playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000061,3.0,Callum,Coleman-Jones,24,200,0,21,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,20.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000061.png?im=Scale,width=0.6,height=0.6",13/06/1999,CD_T100,NMFC,North Melbourne,Kangaroos,3.0,48.6,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,47.6,10.0,4.0,2.0,50.0,2.0,83.3,18.0,78.0,15.0,6.0,1.0,1.0,3.0,0.0,2.0,0.0,4.0,12.0,11.0,3.0,27.3,44.0,2.0,1.0,3.0,100.0,0.0,0.0,6.0,0.5,7.0,0.0,1.0,145.0,3.0,10.0,462.0,114.8,0.0,25.0,8.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,5.0,11.0,3.0,48.6,0.0,0.0,10.0,0.0,0.7,0.0,0.0,0.0,0.7,47.6,3.3,1.3,0.7,50.0,0.7,83.3,6.0,26.0,5.0,2.0,0.3,0.3,1.0,0.0,0.7,0.0,1.3,4.0,3.7,1.0,27.3,44.0,0.7,0.3,1.0,100.0,0.0,0.0,2.0,0.5,2.3,0.0,0.3,48.6,1.0,3.3,114.8,0.0,8.3,2.7,1.0,0.0,0.3,0.0,0.3,0.3,0.0,7.0,1.7,3.7
CD_I1000068,4.0,Chris,Burgess,28,193,0,21,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL)/Gold Coast Suns,,other,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000068.png?im=Scale,width=0.6,height=0.6",26/11/1995,CD_T10,ADEL,Adelaide Crows,Crows,4.0,68.9,4.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,48.3,14.0,11.0,2.0,18.2,8.0,56.3,32.0,168.0,18.0,12.0,3.0,2.0,2.0,37.5,1.0,3.0,11.0,12.0,17.0,5.0,29.4,34.0,6.0,2.0,7.0,60.0,0.0,0.0,20.0,1.7,11.0,5.0,1.0,524.0,4.0,39.0,613.0,14.7,1.0,50.0,12.0,2.0,8.0,4.0,0.0,4.0,2.0,0.0,29.0,5.0,15.0,4.0,68.9,1.0,0.0,8.0,0.0,1.5,0.0,0.0,0.0,0.3,48.3,3.5,2.8,0.5,18.2,2.0,56.3,8.0,42.0,4.5,3.0,0.8,0.5,0.5,37.5,0.3,0.8,2.8,3.0,4.3,1.3,29.4,34.0,1.5,0.5,1.8,60.0,0.0,0.0,5.0,1.7,2.8,1.3,0.3,131.0,1.0,9.8,14.7,0.3,12.5,3.0,0.5,2.0,1.0,0.0,1.0,0.5,0.0,7.3,1.3,3.8
CD_I1000072,4.0,John,Noble,27,180,0,9,RIGHT,SA,2019,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000072.png?im=Scale,width=0.6,height=0.6",25/03/1997,CD_T40,COLL,Collingwood,Magpies,4.0,63.8,0.0,2.0,0.0,0.0,13.0,1.0,50.0,2.0,0.0,21.7,15.0,0.0,0.0,0.0,37.0,83.6,73.0,280.0,61.0,35.0,0.0,3.0,3.0,0.0,1.0,0.0,12.0,29.0,0.0,0.0,0.0,0.0,5.0,4.0,21.0,79.5,5.0,5.0,44.0,1.5,16.0,0.0,0.0,1351.0,6.0,44.0,301.0,242.8,17.0,0.0,14.0,5.0,0.0,5.0,1.0,12.0,0.0,1.0,69.0,15.0,54.0,4.0,63.8,0.0,0.5,0.0,0.0,3.3,0.3,50.0,0.5,0.0,21.7,3.8,0.0,0.0,0.0,9.3,83.6,18.3,70.0,15.3,8.8,0.0,0.8,0.8,0.0,0.3,0.0,3.0,7.3,0.0,0.0,0.0,0.0,1.3,1.0,5.3,79.5,5.0,5.0,11.0,1.5,4.0,0.0,0.0,337.9,1.5,11.0,242.8,4.3,0.0,3.5,1.3,0.0,1.3,0.3,3.0,0.0,0.3,17.3,3.8,13.5
CD_I1000223,5.0,Liam,Baker,26,173,0,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MIDFIELDER_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000223.png?im=Scale,width=0.6,height=0.6",27/01/1998,CD_T120,RICH,Richmond,Tigers,5.0,81.4,3.0,0.0,41.0,4.0,22.0,0.0,0.0,0.0,1.0,36.3,37.0,2.0,0.0,0.0,44.0,67.0,103.0,441.0,69.0,40.0,5.0,6.0,6.0,63.6,2.0,7.0,23.0,35.0,0.0,0.0,0.0,0.0,20.0,2.0,14.0,58.8,0.0,0.0,68.0,1.9,22.0,6.0,2.0,1903.0,6.0,103.0,123.0,364.9,4.0,0.0,33.0,10.0,11.0,1.0,11.0,17.0,3.0,15.0,102.0,26.0,65.0,5.0,81.4,0.6,0.0,41.0,0.8,4.4,0.0,0.0,0.0,0.2,36.3,7.4,0.4,0.0,0.0,8.8,67.0,20.6,88.2,13.8,8.0,1.0,1.2,1.2,63.6,0.4,1.4,4.6,7.0,0.0,0.0,0.0,0.0,4.0,0.4,2.8,58.8,0.0,0.0,13.6,1.9,4.4,1.2,0.4,380.7,1.2,20.6,364.9,0.8,0.0,6.6,2.0,2.2,0.2,2.2,3.4,0.6,3.0,20.4,5.2,13.0
CD_I1000860,6.0,Lachie,Schultz,26,178,0,8,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL)/Fremantle,57.0,nationalDraft,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000860.png?im=Scale,width=0.6,height=0.6",30/11/1997,CD_T40,COLL,Collingwood,Magpies,6.0,81.1,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,31.3,21.0,1.0,1.0,100.0,28.0,65.2,69.0,366.0,45.0,23.0,6.0,2.0,3.0,41.2,2.0,7.0,15.0,31.0,0.0,0.0,0.0,0.0,16.0,1.0,8.0,60.5,0.0,0.0,38.0,1.2,20.0,8.0,2.0,1133.0,8.0,109.0,165.0,333.3,0.0,0.0,32.0,5.0,17.0,4.0,3.0,21.0,9.0,3.0,67.0,9.0,46.0,6.0,81.1,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.3,31.3,3.5,0.2,0.2,100.0,4.7,65.2,11.5,61.0,7.5,3.8,1.0,0.3,0.5,41.2,0.3,1.2,2.5,5.2,0.0,0.0,0.0,0.0,2.7,0.2,1.3,60.5,0.0,0.0,6.3,1.2,3.3,1.3,0.3,189.0,1.3,18.2,333.3,0.0,0.0,5.3,0.8,2.8,0.7,0.5,3.5,1.5,0.5,11.2,1.5,7.7
CD_I1000864,6.0,Lachlan,Bramble,26,182,0,29,RIGHT,VIC,2020,2021,Sunbury (Vic)/Calder U18/Williamstown (VFL)/Box Hill Hawks (VFL)/Hawthorn,,preseason,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000864.png?im=Scale,width=0.6,height=0.6",19/04/1998,CD_T140,WB,Western Bulldogs,Bulldogs,6.0,79.6,1.0,8.0,0.0,1.0,15.0,2.0,40.0,5.0,0.0,17.9,19.0,0.0,0.0,0.0,42.0,85.0,120.0,461.0,102.0,64.0,0.0,4.0,3.0,33.3,1.0,1.0,15.0,44.0,0.0,0.0,0.0,0.0,9.0,6.0,20.0,84.2,19.0,18.0,76.0,1.7,37.0,2.0,2.0,2095.0,10.0,74.0,369.0,192.5,24.0,0.0,21.0,7.0,3.0,5.0,0.0,9.0,0.0,1.0,106.0,14.0,87.0,6.0,79.6,0.2,1.3,0.0,0.2,2.5,0.3,40.0,0.8,0.0,17.9,3.2,0.0,0.0,0.0,7.0,85.0,20.0,76.8,17.0,10.7,0.0,0.7,0.5,33.3,0.2,0.2,2.5,7.3,0.0,0.0,0.0,0.0,1.5,1.0,3.3,84.2,19.0,18.0,12.7,1.7,6.2,0.3,0.3,349.3,1.7,12.3,192.5,4.0,0.0,3.5,1.2,0.5,0.8,0.0,1.5,0.0,0.2,17.7,2.3,14.5
CD_I1000887,3.0,Mitch,Lewis,25,199,0,2,RIGHT,VIC,2016,2018,Whittlesea (Vic)/Assumption College (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000887.png?im=Scale,width=0.6,height=0.6",14/10/1998,CD_T80,HAW,Hawthorn,Hawks,3.0,85.4,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,39.1,9.0,14.0,1.0,7.1,4.0,60.0,25.0,132.0,15.0,7.0,1.0,2.0,0.0,50.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,14.3,2.0,0.0,1.0,41.2,0.0,0.0,17.0,2.1,14.0,6.0,2.0,441.0,10.0,33.0,271.0,263.0,0.0,7.0,10.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,23.0,5.0,14.0,3.0,85.4,0.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7,39.1,3.0,4.7,0.3,7.1,1.3,60.0,8.3,44.0,5.0,2.3,0.3,0.7,0.0,50.0,0.0,1.0,1.0,2.7,0.3,0.0,0.0,14.3,0.7,0.0,0.3,41.2,0.0,0.0,5.7,2.1,4.7,2.0,0.7,147.1,3.3,11.0,263.0,0.0,2.3,3.3,0.0,2.0,2.0,0.0,0.7,0.3,0.0,7.7,1.7,4.7
CD_I1000932,0.0,Tom,Doedee,27,190,0,12,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18/Adelaide Crows",17.0,nationalDraft,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000932.png?im=Scale,width=0.6,height=0.6",01/03/1997,CD_T20,BL,Brisbane Lions,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000937,6.0,Jack,Henry,25,192,0,38,RIGHT,VIC,2016,2018,"St Mary&apos;s, Geelong (Vic)/Geelong U18",16.0,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000937.png?im=Scale,width=0.6,height=0.6",29/08/1998,CD_T70,GEEL,Geelong Cats,Cats,6.0,96.8,0.0,0.0,0.0,1.0,10.0,3.0,21.4,14.0,3.0,36.1,22.0,0.0,0.0,0.0,43.0,80.6,62.0,280.0,50.0,34.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,2.0,11.0,35.0,81.0,0.0,0.0,42.0,2.1,27.0,0.0,0.0,1016.0,36.0,52.0,280.0,256.5,16.0,0.0,4.0,3.0,0.0,31.0,2.0,10.0,0.0,3.0,61.0,5.0,39.0,6.0,96.8,0.0,0.0,0.0,0.2,1.7,0.5,21.4,2.3,0.5,36.1,3.7,0.0,0.0,0.0,7.2,80.6,10.3,46.7,8.3,5.7,0.0,0.5,0.3,0.0,0.0,0.0,2.3,3.3,0.0,0.0,0.0,0.0,0.3,1.8,5.8,81.0,0.0,0.0,7.0,2.1,4.5,0.0,0.0,169.4,6.0,8.7,256.5,2.7,0.0,0.7,0.5,0.0,5.2,0.3,1.7,0.0,0.5,10.2,0.8,6.5
CD_I1000953,6.0,Harry,McKay,26,200,0,10,LEFT,VIC,2015,2017,Warragul (Vic)/Gippsland U18,10.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000953.png?im=Scale,width=0.6,height=0.6",24/12/1997,CD_T30,CARL,Carlton,Blues,6.0,91.1,7.0,0.0,18.0,4.0,18.0,0.0,0.0,0.0,22.0,58.7,54.0,18.0,8.0,44.4,11.0,69.4,85.0,547.0,59.0,41.0,6.0,8.0,10.0,53.3,3.0,16.0,14.0,25.0,10.0,3.0,30.0,23.8,15.0,3.0,11.0,68.3,0.0,0.0,60.0,2.4,46.0,20.0,11.0,1806.0,11.0,47.0,205.0,305.9,0.0,42.0,47.0,8.0,30.0,9.0,5.0,20.0,8.0,9.0,92.0,12.0,38.0,6.0,91.1,1.2,0.0,18.0,0.7,3.0,0.0,0.0,0.0,3.7,58.7,9.0,3.0,1.3,44.4,1.8,69.4,14.2,91.2,9.8,6.8,1.0,1.3,1.7,53.3,0.5,2.7,2.3,4.2,1.7,0.5,30.0,23.8,2.5,0.5,1.8,68.3,0.0,0.0,10.0,2.4,7.7,3.3,1.8,301.1,1.8,7.8,305.9,0.0,7.0,7.8,1.3,5.0,1.5,0.8,3.3,1.3,1.5,15.3,2.0,6.3
